Pedigree	Pop	Gen
Mo17/PHW30-044 - (2n)-01	5	71
Mo17/PHW30-044 - (2n)-02	5	72
Mo17/PHW30-075 - (2n)-01	5	73
Mo17/PHW30-075 - (2n)-02	5	74
Mo17/PHW30-080 - (2n)-01	5	75
Mo17/PHW30-080 - (2n)-02	5	76
Mo17/PHW30-081 - (2n)-01	5	77
Mo17/PHW30-081 - (2n)-03	5	78
Mo17/PHW30-084 - (2n)-01	5	79
Mo17/PHW30-084 - (2n)-02	5	80
Mo17/PHW30-086 - (2n)-01	5	81
Mo17/PHW30-086 - (2n)-02	5	82
Mo17/PHW30-089 - (2n)-01	5	83
Mo17/PHW30-089 - (2n)-02	5	84
Mo17/PHW30-091 - (2n)-01	5	85
Mo17/PHW30-091 - (2n)-02	5	86
Mo17/PHW30-094 - (2n)-01	5	87
Mo17/PHW30-109 - (2n)-01	5	88
Mo17/PHW30-121 - (2n)-02	5	89
Mo17/PHW30-121 - (2n)-03	5	90
Mo17/PHW30-126 - (2n)-01	5	91
Mo17/PHW30-126 - (2n)-02	5	92
Mo17/PHW30-133 - (2n)-01	5	93
Mo17/PHW30-133 - (2n)-02	5	94
Mo17/PHW30-148 - (2n)-01	5	95
Mo17/PHW30-148 - (2n)-02	5	96
Mo17/PHW30-153 - (2n)-03	5	97
Mo17/PHW30-153 - (2n)-04	5	98
Mo17/PHW30-157 - (2n)-01	5	99
Mo17/PHW30-160 - (2n)-01	5	100
Mo17/PHW30-160 - (2n)-02	5	101
Mo17/PHW30-184 - (2n)-01	5	102
Mo17/PHW30-184 - (2n)-02	5	103
Mo17/PHW30-200 - (2n)-01	5	104
Mo17/PHW30-200 - (2n)-02	5	105
Mo17/PHW30-217 - (2n)-01	5	106
Mo17/PHW30-217 - (2n)-02	5	107
Mo17/PHW30-231 - (2n)-01	5	108
Mo17/PHW30-231 - (2n)-03	5	109
Mo17/PHW30-235 - (2n)-01	5	110
Mo17/PHW30-235 - (2n)-02	5	111
Mo17/PHW30-248 - (2n)-01	5	112
Mo17/PHW30-248 - (2n)-02	5	113
Mo17/PHW30-254 - (2n)-01	5	114
Mo17/PHW30-254 - (2n)-02	5	115
Mo17/PHW30-262 - (2n)-01	5	116
Mo17/PHW30-262 - (2n)-02	5	117
Mo17/PHW30-275 - (2n)-01	5	118
Mo17/PHW30-275 - (2n)-02	5	119
Mo17/PHW30-279 - (2n)-01	5	120
Mo17/PHW30-279 - (2n)-02	5	121
Mo17/PHW30-281 - (2n)-01	5	122
Mo17/PHW30-292 - (2n)-01	5	123
Mo17/PHW30-309 - (2n)-01	5	124
Mo17/PHW30-309 - (2n)-02	5	125
Mo17/PHW30-314 - (2n)-01	5	126
Mo17/PHW30-321 - (2n)-01	5	127
Mo17/PHW30-324 - (2n)-01	5	128
Mo17/PHW30-324 - (2n)-02	5	129
Mo17/PHW30-332 - (2n)-01	5	130
Mo17/PHW30-332 - (2n)-02	5	131
Mo17/PHW30-341 - (2n)-01	5	132
Mo17/PHW30-341 - (2n)-02	5	133
Mo17/PHW30-389 - (2n)-02	5	134
Mo17/PHW30-389 - (2n)-03	5	135
Mo17/PHW30-409 - (2n)-01	5	136
Mo17/PHW30-409 - (2n)-02	5	137
Mo17/PHW30-429 - (2n)-01	5	138
Mo17/PHW30-429 - (2n)-02	5	139
Mo17/PHW30-430 - (2n)-01	5	140
Mo17/PHW30-430 - (2n)-02	5	141
Mo17/PHW30-454 - (2n)-01	5	142
Mo17/PHW30-454 - (2n)-02	5	143
Mo17/PHW30-455 - (2n)-01	5	144
Mo17/PHW30-456 - (2n)-01	5	145
Mo17/PHW30-456 - (2n)-02	5	146
PHW30/B73-002 - (2n)-01	4	147
PHW30/B73-002 - (2n)-02	4	148
PHW30/B73-009 - (2n)-01	4	149
PHW30/B73-009 - (2n)-02	4	150
PHW30/B73-015 - (2n)-01	4	151
PHW30/B73-015 - (2n)-02	4	152
PHW30/B73-029 - (2n)-01	4	153
PHW30/B73-045 - (2n)-01	4	154
PHW30/B73-055 - (2n)-01	4	155
PHW30/B73-055 - (2n)-02	4	156
PHW30/B73-060 - (2n)-01	4	157
PHW30/B73-060 - (2n)-02	4	158
PHW30/B73-066 - (2n)-01	4	159
PHW30/B73-066 - (2n)-02	4	160
PHW30/B73-078 - (2n)-01	4	161
PHW30/B73-078 - (2n)-02	4	162
PHW30/B73-097 - (2n)-01	4	163
PHW30/B73-097 - (2n)-02	4	164
PHW30/B73-121 - (2n)-01	4	165
PHW30/B73-138 - (2n)-01	4	166
PHW30/B73-139 - (2n)-01	4	167
PHW30/B73-139 - (2n)-02	4	168
PHW30/B73-143 - (2n)-01	4	169
PHW30/B73-157 - (2n)-01	4	170
PHW30/B73-157 - (2n)-03	4	171
PHW30/B73-161 - (2n)-01	4	172
PHW30/B73-161 - (2n)-02	4	173
PHW30/B73-169 - (2n)-01	4	174
PHW30/B73-169 - (2n)-02	4	175
PHW30/B73-184 - (2n)-01	4	176
PHW30/B73-184 - (2n)-02	4	177
PHW30/B73-193 - (2n)-01	4	178
PHW30/B73-204 - (2n)-01	4	179
PHW30/B73-221 - (2n)-01	4	180
PHW30/B73-221 - (2n)-02	4	181
PHW30/B73-232 - (2n)-01	4	182
PHW30/B73-232 - (2n)-02	4	183
PHW30/B73-241 - (2n)-01	4	184
PHW30/B73-241 - (2n)-02	4	185
PHW30/B73-243 - (2n)-02	4	186
PHW30/B73-269 - (2n)-01	4	187
PHW30/B73-287 - (2n)-01	4	188
PHW30/B73-287 - (2n)-02	4	189
PHW30/B73-289 - (2n)-01	4	190
PHW30/B73-289 - (2n)-02	4	191
PHW30/B73-292 - (2n)-01	4	192
PHW30/B73-302 - (2n)-01	4	193
PHW30/B73-302 - (2n)-02	4	194
PHW30/B73-311 - (2n)-01	4	195
PHW30/B73-311 - (2n)-02	4	196
PHW30/B73-324 - (2n)-01	4	197
PHW30/B73-326 - (2n)-01	4	198
PHW30/B73-326 - (2n)-02	4	199
PHW30/B73-341 - (2n)-01	4	200
PHW30/B73-341 - (2n)-02	4	201
PHW30/B73-349 - (2n)-01	4	202
PHW30/B73-351 - (2n)-01	4	203
PHW30/B73-351 - (2n)-02	4	204
PHW30/B73-355 - (2n)-01	4	205
PHW30/B73-355 - (2n)-02	4	206
PHW30/B73-372 - (2n)-01	4	207
PHW30/B73-372 - (2n)-02	4	208
PHW30/B73-390 - (2n)-01	4	209
PHW30/B73-401 - (2n)-01	4	210
PHW30/B73-401 - (2n)-02	4	211
PHW30/B73-421 - (2n)-01	4	212
PHW30/B73-421 - (2n)-03	4	213
PHW30/B73-433 - (2n)-01	4	214
PHW30/B73-434 - (2n)-01	4	215
PHW30/B73-434 - (2n)-02	4	216
PHW30/Mo17-003 - (2n)-01	5	217
PHW30/Mo17-010 - (2n)-01	5	218
PHW30/Mo17-010 - (2n)-02	5	219
PHW30/Mo17-019 - (2n)-01	5	220
PHW30/Mo17-019 - (2n)-02	5	221
PHW30/Mo17-026 - (2n)-01	5	222
PHW30/Mo17-026 - (2n)-02	5	223
PHW30/Mo17-028 - (2n)-01	5	224
PHW30/Mo17-028 - (2n)-02	5	225
PHW30/Mo17-032 - (2n)-01	5	226
PHW30/Mo17-032 - (2n)-02	5	227
PHW30/Mo17-033 - (2n)-01	5	228
PHW30/Mo17-037 - (2n)-01	5	229
PHW30/Mo17-037 - (2n)-02	5	230
PHW30/Mo17-049 - (2n)-01	5	231
PHW30/Mo17-049 - (2n)-02	5	232
PHW30/Mo17-050 - (2n)-01	5	233
PHW30/Mo17-050 - (2n)-02	5	234
PHW30/Mo17-051 - (2n)-01	5	235
PHW30/Mo17-051 - (2n)-02	5	236
PHW30/Mo17-054 - (2n)-01	5	237
PHW30/Mo17-054 - (2n)-02	5	238
PHW30/Mo17-059 - (2n)-01	5	239
PHW30/Mo17-059 - (2n)-02	5	240
PHW30/Mo17-061 - (2n)-01	5	241
PHW30/Mo17-061 - (2n)-02	5	242
PHW30/Mo17-064 - (2n)-01	5	243
PHW30/Mo17-064 - (2n)-02	5	244
PHW30/Mo17-076 - (2n)-01	5	245
PHW30/Mo17-076 - (2n)-02	5	246
PHW30/Mo17-077 - (2n)-01	5	247
PHW30/Mo17-077 - (2n)-02	5	248
PHW30/Mo17-085 - (2n)-01	5	249
PHW30/Mo17-088 - (2n)-01	5	250
PHW30/Mo17-088 - (2n)-02	5	251
PHW30/Mo17-089 - (2n)-01	5	252
PHW30/Mo17-089 - (2n)-02	5	253
PHW30/Mo17-095 - (2n)-01	5	254
PHW30/Mo17-095 - (2n)-02	5	255
PHW30/Mo17-099 - (2n)-01	5	256
PHW30/Mo17-099 - (2n)-02	5	257
PHW30/Mo17-101 - (2n)-01	5	258
PHW30/Mo17-101 - (2n)-02	5	259
PHW30/Mo17-107 - (2n)-01	5	260
PHW30/Mo17-107 - (2n)-02	5	261
PHW30/Mo17-110 - (2n)-03	5	262
PHW30/Mo17-113 - (2n)-01	5	263
PHW30/Mo17-113 - (2n)-02	5	264
PHW30/Mo17-129 - (2n)-01	5	265
PHW30/Mo17-129 - (2n)-02	5	266
PHW30/Mo17-136 - (2n)-01	5	267
PHW30/Mo17-136 - (2n)-02	5	268
PHW30/Mo17-139 - (2n)-01	5	269
PHW30/Mo17-139 - (2n)-02	5	270
PHW30/Mo17-141 - (2n)-01	5	271
PHW30/Mo17-141 - (2n)-02	5	272
PHW30/Mo17-142 - (2n)-01	5	273
PHW30/Mo17-155 - (2n)-01	5	274
PHW30/Mo17-155 - (2n)-02	5	275
PHW30/Mo17-157 - (2n)-01	5	276
PHW30/Mo17-157 - (2n)-02	5	277
PHW30/Mo17-160 - (2n)-01	5	278
PHW30/Mo17-160 - (2n)-02	5	279
PHW30/Mo17-161 - (2n)-01	5	280
PHW30/Mo17-161 - (2n)-02	5	281
PHW30/Mo17-165 - (2n)-01	5	282
PHW30/Mo17-165 - (2n)-02	5	283
PHW30/Mo17-166 - (2n)-01	5	284
PHW30/Mo17-178 - (2n)-01	5	285
PHW30/Mo17-178 - (2n)-02	5	286
PHW30/Mo17-179 - (2n)-01	5	287
PHW30/Mo17-187 - (2n)-01	5	288
PHW30/Mo17-187 - (2n)-02	5	289
PHW30/Mo17-188 - (2n)-01	5	290
PHW30/Mo17-194 - (2n)-01	5	291
PHW30/Mo17-194 - (2n)-02	5	292
PHW30/Mo17-195 - (2n)-01	5	293
PHW30/Mo17-195 - (2n)-02	5	294
PHW30/Mo17-234 - (2n)-01	5	295
PHW30/Mo17-234 - (2n)-02	5	296
PHW30/Mo17-242 - (2n)-01	5	297
PHW30/Mo17-242 - (2n)-02	5	298
PHW30/Mo17-252 - (2n)-01	5	299
PHW30/Mo17-252 - (2n)-02	5	300
PHW30/Mo17-266 - (2n)-01	5	301
PHW30/Mo17-278 - (2n)-01	5	302
PHW30/Mo17-278 - (2n)-02	5	303
PHW30/Mo17-297 - (2n)-01	5	304
PHW30/Mo17-298 - (2n)-01	5	305
PHW30/Mo17-299 - (2n)-01	5	306
PHW30/Mo17-299 - (2n)-02	5	307
PHW30/Mo17-304 - (2n)-02	5	308
PHW30/Mo17-308 - (2n)-01	5	309
PHW30/Mo17-308 - (2n)-02	5	310
PHW30/Mo17-315 - (2n)-01	5	311
PHW30/Mo17-315 - (2n)-02	5	312
