Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
Mo17	2017	1	34	FUELA	64.79916667	3	3	2	1	2017_Loc1
Mo17	2017	1	34	MLA	55.86483333	4	3	2	1	2017_Loc1
Mo17	2017	1	34	TUELA	62.91083333	2	3	2	1	2017_Loc1
Mo17	2017	1	34	ULA	47.3675	1	3	2	1	2017_Loc1
PHW30	2017	1	39	FUELA	77.524	3	3	3	1	2017_Loc1
PHW30	2017	1	39	MLA	71.42916667	4	3	3	1	2017_Loc1
PHW30	2017	1	39	TUELA	75.8165	2	3	3	1	2017_Loc1
PHW30	2017	1	39	ULA	76.26083333	1	3	3	1	2017_Loc1
PHW30	2017	1	44	FUELA	73.3885	3	3	3	2	2017_Loc1
PHW30	2017	1	44	MLA	74.08383333	4	3	3	2	2017_Loc1
PHW30	2017	1	44	TUELA	75.67466667	2	3	3	2	2017_Loc1
PHW30	2017	1	44	ULA	74.984	1	3	3	2	2017_Loc1
B73	2017	1	39	FUELA	69.70733333	3	3	1	2	2017_Loc1
B73	2017	1	39	MLA	53.7645	4	3	1	2	2017_Loc1
B73	2017	1	39	TUELA	75.772	2	3	1	2	2017_Loc1
B73	2017	1	39	ULA	80.98633333	1	3	1	2	2017_Loc1
Mo17	2017	1	20	FUELA	64.51433333	3	3	2	2	2017_Loc1
Mo17	2017	1	20	MLA	57.82166667	4	3	2	2	2017_Loc1
Mo17	2017	1	20	TUELA	57.99983333	2	3	2	2	2017_Loc1
Mo17	2017	1	20	ULA	51.44883333	1	3	2	2	2017_Loc1
Mo17	2017	1	14	FUELA	65.171	3	3	2	3	2017_Loc1
Mo17	2017	1	14	MLA	52.3875	4	3	2	3	2017_Loc1
Mo17	2017	1	14	TUELA	63.77233333	2	3	2	3	2017_Loc1
Mo17	2017	1	14	ULA	50.48216667	1	3	2	3	2017_Loc1
PHW30	2017	1	36	FUELA	74.32116667	3	3	3	3	2017_Loc1
PHW30	2017	1	36	MLA	71.65066667	4	3	3	3	2017_Loc1
PHW30	2017	1	36	TUELA	73.26433333	2	3	3	3	2017_Loc1
PHW30	2017	1	36	ULA	73.90633333	1	3	3	3	2017_Loc1
B73	2017	1	47	FUELA	71.84433333	3	3	1	3	2017_Loc1
B73	2017	1	47	MLA	59.5995	4	3	1	3	2017_Loc1
B73	2017	1	47	TUELA	76.36366667	2	3	1	3	2017_Loc1
B73	2017	1	47	ULA	78.99233333	1	3	1	3	2017_Loc1
B73	2017	1	44	FUELA	61.236	3	3	1	4	2017_Loc1
