Coded_Trait	Trait	Year	Loc	Env	Range	Pass	Pedigree	Pop	Gen
1	ULA	2016	1	2016_Loc1	2	16	B73/PHW30-409 - (2n)-02	4	61
1	ULA	2016	1	2016_Loc1	2	17	PHW30/Mo17-155 - (2n)-02	5	275
1	ULA	2016	1	2016_Loc1	2	18	PHW30/Mo17-157 - (2n)-02	5	277
1	ULA	2016	1	2016_Loc1	2	20	B73/PHW30-064 - (2n)-01	4	10
1	ULA	2016	1	2016_Loc1	2	21	PHW30/B73-002 - (2n)-01	4	147
1	ULA	2016	1	2016_Loc1	2	22	Mo17/PHW30-409 - (2n)-01	5	136
1	ULA	2016	1	2016_Loc1	2	24	PHW30/Mo17-050 - (2n)-01	5	233
1	ULA	2016	1	2016_Loc1	2	25	PHW30/B73-341 - (2n)-02	4	201
1	ULA	2016	1	2016_Loc1	2	27	Mo17/PHW30-091 - (2n)-02	5	86
1	ULA	2016	1	2016_Loc1	2	28	PHW30/Mo17-051 - (2n)-01	5	235
1	ULA	2016	1	2016_Loc1	2	29	PHW30/B73-055 - (2n)-02	4	156
1	ULA	2016	1	2016_Loc1	2	30	Mo17/PHW30-133 - (2n)-01	5	93
1	ULA	2016	1	2016_Loc1	2	31	PHW30/Mo17-050 - (2n)-02	5	234
1	ULA	2016	1	2016_Loc1	2	32	PHW30/B73-289 - (2n)-01	4	190
1	ULA	2016	1	2016_Loc1	2	33	Mo17/PHW30-309 - (2n)-02	5	125
1	ULA	2016	1	2016_Loc1	2	34	PHW30/B73-355 - (2n)-01	4	205
1	ULA	2016	1	2016_Loc1	2	35	Mo17/PHW30-126 - (2n)-01	5	91
1	ULA	2016	1	2016_Loc1	2	36	PHW30/Mo17-136 - (2n)-02	5	268
1	ULA	2016	1	2016_Loc1	3	5	PHW30/B73-349 - (2n)-01	4	202
1	ULA	2016	1	2016_Loc1	3	6	Mo17/PHW30-279 - (2n)-01	5	120
1	ULA	2016	1	2016_Loc1	3	7	B73/PHW30-068 - (2n)-01	4	12
1	ULA	2016	1	2016_Loc1	3	8	PHW30/Mo17-129 - (2n)-01	5	265
1	ULA	2016	1	2016_Loc1	3	9	PHW30/B73-066 - (2n)-02	4	160
1	ULA	2016	1	2016_Loc1	3	10	Mo17/PHW30-217 - (2n)-01	5	106
1	ULA	2016	1	2016_Loc1	3	11	PHW30/B73-372 - (2n)-02	4	208
1	ULA	2016	1	2016_Loc1	3	12	PHW30/B73-045 - (2n)-01	4	154
1	ULA	2016	1	2016_Loc1	3	13	PHW30/Mo17-161 - (2n)-01	5	280
1	ULA	2016	1	2016_Loc1	3	14	Mo17/PHW30-016 - (2n)-02	5	70
1	ULA	2016	1	2016_Loc1	3	17	B73/PHW30-141 - (2n)-01	4	23
1	ULA	2016	1	2016_Loc1	3	18	PHW30/Mo17-061 - (2n)-01	5	241
1	ULA	2016	1	2016_Loc1	3	19	PHW30/B73-311 - (2n)-01	4	195
1	ULA	2016	1	2016_Loc1	3	20	Mo17/PHW30-153 - (2n)-03	5	97
1	ULA	2016	1	2016_Loc1	3	21	PHW30/B73-324 - (2n)-01	4	197
1	ULA	2016	1	2016_Loc1	3	22	PHW30/Mo17-076 - (2n)-02	5	246
1	ULA	2016	1	2016_Loc1	3	23	PHW30/B73-097 - (2n)-01	4	163
1	ULA	2016	1	2016_Loc1	3	25	PHW30/B73-302 - (2n)-01	4	193
1	ULA	2016	1	2016_Loc1	3	26	Mo17/PHW30-200 - (2n)-01	5	104
1	ULA	2016	1	2016_Loc1	3	27	B73/PHW30-368 - (2n)-02	4	54
1	ULA	2016	1	2016_Loc1	3	28	Mo17/PHW30-126 - (2n)-02	5	92
1	ULA	2016	1	2016_Loc1	3	29	Mo17/PHW30-275 - (2n)-01	5	118
1	ULA	2016	1	2016_Loc1	3	30	Mo17/PHW30-429 - (2n)-01	5	138
1	ULA	2016	1	2016_Loc1	3	31	Mo17/PHW30-075 - (2n)-01	5	73
1	ULA	2016	1	2016_Loc1	3	32	PHW30/Mo17-297 - (2n)-01	5	304
1	ULA	2016	1	2016_Loc1	3	33	B73/PHW30-396 - (2n)-02	4	59
1	ULA	2016	1	2016_Loc1	3	34	B73/PHW30-392 - (2n)-01	4	57
1	ULA	2016	1	2016_Loc1	3	35	PHW30/B73-372 - (2n)-01	4	207
1	ULA	2016	1	2016_Loc1	3	36	PHW30/Mo17-113 - (2n)-01	5	263
1	ULA	2016	1	2016_Loc1	4	6	B73/PHW30-163 - (2n)-02	4	27
1	ULA	2016	1	2016_Loc1	4	7	PHW30/B73-287 - (2n)-01	4	188
1	ULA	2016	1	2016_Loc1	4	8	Mo17/PHW30-262 - (2n)-01	5	116
1	ULA	2016	1	2016_Loc1	4	9	PHW30/B73-351 - (2n)-02	4	204
1	ULA	2016	1	2016_Loc1	4	10	PHW30/Mo17-107 - (2n)-01	5	260
1	ULA	2016	1	2016_Loc1	4	11	PHW30/Mo17-059 - (2n)-02	5	240
1	ULA	2016	1	2016_Loc1	4	12	PHW30/Mo17-165 - (2n)-02	5	283
1	ULA	2016	1	2016_Loc1	4	13	Mo17/PHW30-091 - (2n)-01	5	85
1	ULA	2016	1	2016_Loc1	4	14	B73/PHW30-258 - (2n)-01	4	44
1	ULA	2016	1	2016_Loc1	4	15	PHW30/Mo17-195 - (2n)-02	5	294
1	ULA	2016	1	2016_Loc1	4	16	PHW30/B73-434 - (2n)-02	4	216
1	ULA	2016	1	2016_Loc1	4	17	PHW30/Mo17-166 - (2n)-01	5	284
1	ULA	2016	1	2016_Loc1	4	18	B73/PHW30-409 - (2n)-01	4	60
1	ULA	2016	1	2016_Loc1	4	19	B73/PHW30-102 - (2n)-03	4	22
1	ULA	2016	1	2016_Loc1	4	20	B73/PHW30-302 - (2n)-01	4	49
1	ULA	2016	1	2016_Loc1	4	21	PHW30/Mo17-054 - (2n)-02	5	238
1	ULA	2016	1	2016_Loc1	4	22	Mo17/PHW30-016 - (2n)-01	5	69
1	ULA	2016	1	2016_Loc1	4	23	Mo17/PHW30-455 - (2n)-01	5	144
1	ULA	2016	1	2016_Loc1	4	24	PHW30/B73-241 - (2n)-02	4	185
1	ULA	2016	1	2016_Loc1	4	25	PHW30/Mo17-026 - (2n)-02	5	223
1	ULA	2016	1	2016_Loc1	4	26	PHW30/Mo17-308 - (2n)-02	5	310
1	ULA	2016	1	2016_Loc1	4	27	PHW30/Mo17-178 - (2n)-02	5	286
1	ULA	2016	1	2016_Loc1	4	29	PHW30/B73-326 - (2n)-01	4	198
1	ULA	2016	1	2016_Loc1	4	30	PHW30/B73-121 - (2n)-01	4	165
1	ULA	2016	1	2016_Loc1	4	32	Mo17/PHW30-084 - (2n)-02	5	80
1	ULA	2016	1	2016_Loc1	4	33	PHW30/B73-015 - (2n)-02	4	152
1	ULA	2016	1	2016_Loc1	4	34	Mo17/PHW30-008 - (2n)-01	5	64
1	ULA	2016	1	2016_Loc1	4	35	B73/PHW30-256 - (2n)-01	4	43
1	ULA	2016	1	2016_Loc1	4	36	B73/PHW30-385 - (2n)-03	4	56
1	ULA	2016	1	2016_Loc1	5	5	Mo17/PHW30-332 - (2n)-01	5	130
1	ULA	2016	1	2016_Loc1	5	6	Mo17/PHW30-084 - (2n)-01	5	79
1	ULA	2016	1	2016_Loc1	5	7	Mo17/PHW30-235 - (2n)-02	5	111
1	ULA	2016	1	2016_Loc1	5	8	PHW30/Mo17-054 - (2n)-01	5	237
1	ULA	2016	1	2016_Loc1	5	9	PHW30/Mo17-019 - (2n)-02	5	221
1	ULA	2016	1	2016_Loc1	5	10	Mo17/PHW30-430 - (2n)-02	5	141
1	ULA	2016	1	2016_Loc1	5	11	PHW30/Mo17-299 - (2n)-02	5	307
1	ULA	2016	1	2016_Loc1	5	12	PHW30/B73-060 - (2n)-02	4	158
1	ULA	2016	1	2016_Loc1	5	13	PHW30/Mo17-064 - (2n)-02	5	244
1	ULA	2016	1	2016_Loc1	5	14	PHW30/Mo17-028 - (2n)-01	5	224
1	ULA	2016	1	2016_Loc1	5	15	PHW30/Mo17-141 - (2n)-02	5	272
1	ULA	2016	1	2016_Loc1	5	17	B73/PHW30-068 - (2n)-02	4	13
1	ULA	2016	1	2016_Loc1	5	18	Mo17/PHW30-044 - (2n)-01	5	71
1	ULA	2016	1	2016_Loc1	5	19	PHW30/B73-421 - (2n)-01	4	212
1	ULA	2016	1	2016_Loc1	5	20	PHW30/Mo17-194 - (2n)-02	5	292
1	ULA	2016	1	2016_Loc1	5	21	B73/PHW30-102 - (2n)-01	4	21
1	ULA	2016	1	2016_Loc1	5	22	Mo17/PHW30-321 - (2n)-01	5	127
1	ULA	2016	1	2016_Loc1	5	25	PHW30/Mo17-155 - (2n)-01	5	274
1	ULA	2016	1	2016_Loc1	5	26	B73/PHW30-186 - (2n)-02	4	32
1	ULA	2016	1	2016_Loc1	5	27	PHW30/B73-009 - (2n)-02	4	150
1	ULA	2016	1	2016_Loc1	5	28	B73/PHW30-196 - (2n)-01	4	33
1	ULA	2016	1	2016_Loc1	5	29	PHW30/B73-002 - (2n)-02	4	148
1	ULA	2016	1	2016_Loc1	5	30	PHW30/B73-243 - (2n)-02	4	186
1	ULA	2016	1	2016_Loc1	5	31	B73/PHW30-098 - (2n)-03	4	18
1	ULA	2016	1	2016_Loc1	5	32	PHW30/B73-241 - (2n)-01	4	184
1	ULA	2016	1	2016_Loc1	5	33	B73/PHW30-207 - (2n)-02	4	36
1	ULA	2016	1	2016_Loc1	5	34	B73/PHW30-152 - (2n)-01	4	24
1	ULA	2016	1	2016_Loc1	5	35	B73/PHW30-237 - (2n)-02	4	41
1	ULA	2016	1	2016_Loc1	5	36	B73/PHW30-226 - (2n)-01	4	39
1	ULA	2016	1	2016_Loc1	6	6	B73/PHW30-285 - (2n)-01	4	46
1	ULA	2016	1	2016_Loc1	6	7	B73/PHW30-064 - (2n)-02	4	11
1	ULA	2016	1	2016_Loc1	6	8	Mo17/PHW30-121 - (2n)-03	5	90
1	ULA	2016	1	2016_Loc1	6	9	Mo17/PHW30-089 - (2n)-01	5	83
1	ULA	2016	1	2016_Loc1	6	10	PHW30/B73-015 - (2n)-01	4	151
1	ULA	2016	1	2016_Loc1	6	11	Mo17/PHW30-008 - (2n)-02	5	65
1	ULA	2016	1	2016_Loc1	6	12	B73/PHW30-316 - (2n)-01	4	51
1	ULA	2016	1	2016_Loc1	6	13	PHW30/Mo17-059 - (2n)-01	5	239
1	ULA	2016	1	2016_Loc1	6	14	PHW30/Mo17-037 - (2n)-01	5	229
1	ULA	2016	1	2016_Loc1	6	15	PHW30/B73-161 - (2n)-02	4	173
1	ULA	2016	1	2016_Loc1	6	16	B73/PHW30-026 - (2n)-01	4	4
1	ULA	2016	1	2016_Loc1	6	17	PHW30/Mo17-095 - (2n)-01	5	254
1	ULA	2016	1	2016_Loc1	6	18	PHW30/B73-341 - (2n)-01	4	200
1	ULA	2016	1	2016_Loc1	6	19	PHW30/B73-060 - (2n)-01	4	157
1	ULA	2016	1	2016_Loc1	6	20	PHW30/Mo17-010 - (2n)-01	5	218
1	ULA	2016	1	2016_Loc1	6	21	PHW30/Mo17-252 - (2n)-01	5	299
1	ULA	2016	1	2016_Loc1	6	22	PHW30/B73-401 - (2n)-02	4	211
1	ULA	2016	1	2016_Loc1	6	23	PHW30/Mo17-101 - (2n)-01	5	258
1	ULA	2016	1	2016_Loc1	6	24	B73/PHW30-368 - (2n)-01	4	53
1	ULA	2016	1	2016_Loc1	6	25	Mo17/PHW30-275 - (2n)-02	5	119
1	ULA	2016	1	2016_Loc1	6	26	PHW30/Mo17-242 - (2n)-01	5	297
1	ULA	2016	1	2016_Loc1	6	27	PHW30/Mo17-077 - (2n)-01	5	247
1	ULA	2016	1	2016_Loc1	6	28	PHW30/Mo17-003 - (2n)-01	5	217
1	ULA	2016	1	2016_Loc1	6	29	PHW30/B73-066 - (2n)-01	4	159
1	ULA	2016	1	2016_Loc1	6	30	Mo17/PHW30-081 - (2n)-01	5	77
1	ULA	2016	1	2016_Loc1	6	32	PHW30/B73-169 - (2n)-02	4	175
1	ULA	2016	1	2016_Loc1	6	34	PHW30/B73-232 - (2n)-02	4	183
1	ULA	2016	1	2016_Loc1	6	35	Mo17/PHW30-454 - (2n)-01	5	142
1	ULA	2016	1	2016_Loc1	6	36	PHW30/Mo17-188 - (2n)-01	5	290
1	ULA	2016	1	2016_Loc1	7	6	B73/PHW30-098 - (2n)-01	4	17
1	ULA	2016	1	2016_Loc1	7	7	PHW30/B73-161 - (2n)-01	4	172
1	ULA	2016	1	2016_Loc1	7	9	PHW30/B73-143 - (2n)-01	4	169
1	ULA	2016	1	2016_Loc1	7	10	PHW30/B73-055 - (2n)-01	4	155
1	ULA	2016	1	2016_Loc1	7	11	Mo17/PHW30-235 - (2n)-01	5	110
1	ULA	2016	1	2016_Loc1	7	12	PHW30/B73-184 - (2n)-02	4	177
1	ULA	2016	1	2016_Loc1	7	13	PHW30/Mo17-298 - (2n)-01	5	305
1	ULA	2016	1	2016_Loc1	7	15	Mo17/PHW30-262 - (2n)-02	5	117
1	ULA	2016	1	2016_Loc1	7	16	Mo17/PHW30-324 - (2n)-02	5	129
1	ULA	2016	1	2016_Loc1	7	17	B73/PHW30-237 - (2n)-01	4	40
1	ULA	2016	1	2016_Loc1	7	18	PHW30/B73-292 - (2n)-01	4	192
1	ULA	2016	1	2016_Loc1	7	19	Mo17/PHW30-081 - (2n)-03	5	78
1	ULA	2016	1	2016_Loc1	7	20	PHW30/Mo17-088 - (2n)-01	5	250
1	ULA	2016	1	2016_Loc1	7	21	PHW30/Mo17-129 - (2n)-02	5	266
1	ULA	2016	1	2016_Loc1	7	23	PHW30/B73-078 - (2n)-02	4	162
1	ULA	2016	1	2016_Loc1	7	24	Mo17/PHW30-309 - (2n)-01	5	124
1	ULA	2016	1	2016_Loc1	7	25	PHW30/B73-009 - (2n)-01	4	149
1	ULA	2016	1	2016_Loc1	7	26	PHW30/Mo17-107 - (2n)-02	5	261
1	ULA	2016	1	2016_Loc1	7	27	B73/PHW30-097 - (2n)-02	4	16
1	ULA	2016	1	2016_Loc1	7	28	Mo17/PHW30-086 - (2n)-02	5	82
1	ULA	2016	1	2016_Loc1	7	29	PHW30/Mo17-252 - (2n)-02	5	300
1	ULA	2016	1	2016_Loc1	7	30	PHW30/Mo17-033 - (2n)-01	5	228
1	ULA	2016	1	2016_Loc1	7	31	Mo17/PHW30-184 - (2n)-01	5	102
1	ULA	2016	1	2016_Loc1	7	32	Mo17/PHW30-314 - (2n)-01	5	126
1	ULA	2016	1	2016_Loc1	7	33	PHW30/B73-157 - (2n)-01	4	170
1	ULA	2016	1	2016_Loc1	7	34	PHW30/Mo17-064 - (2n)-01	5	243
1	ULA	2016	1	2016_Loc1	7	35	PHW30/B73-326 - (2n)-02	4	199
1	ULA	2016	1	2016_Loc1	7	36	B73/PHW30-183 - (2n)-02	4	30
1	ULA	2016	1	2016_Loc1	8	5	B73/PHW30-252 - (2n)-01	4	42
1	ULA	2016	1	2016_Loc1	8	6	PHW30/Mo17-142 - (2n)-01	5	273
1	ULA	2016	1	2016_Loc1	8	7	Mo17/PHW30-231 - (2n)-03	5	109
1	ULA	2016	1	2016_Loc1	8	8	PHW30/Mo17-194 - (2n)-01	5	291
1	ULA	2016	1	2016_Loc1	8	9	Mo17/PHW30-080 - (2n)-02	5	76
1	ULA	2016	1	2016_Loc1	8	10	Mo17/PHW30-341 - (2n)-01	5	132
1	ULA	2016	1	2016_Loc1	8	11	PHW30/Mo17-032 - (2n)-02	5	227
1	ULA	2016	1	2016_Loc1	8	12	PHW30/Mo17-028 - (2n)-02	5	225
1	ULA	2016	1	2016_Loc1	8	13	PHW30/B73-434 - (2n)-01	4	215
1	ULA	2016	1	2016_Loc1	8	14	PHW30/Mo17-113 - (2n)-02	5	264
1	ULA	2016	1	2016_Loc1	8	15	PHW30/Mo17-051 - (2n)-02	5	236
1	ULA	2016	1	2016_Loc1	8	16	Mo17/PHW30-013 - (2n)-02	5	68
1	ULA	2016	1	2016_Loc1	8	18	PHW30/B73-097 - (2n)-02	4	164
1	ULA	2016	1	2016_Loc1	8	19	B73/PHW30-211 - (2n)-01	4	37
1	ULA	2016	1	2016_Loc1	8	20	B73/PHW30-302 - (2n)-02	4	50
1	ULA	2016	1	2016_Loc1	8	22	Mo17/PHW30-160 - (2n)-02	5	101
1	ULA	2016	1	2016_Loc1	8	24	B73/PHW30-100 - (2n)-02	4	20
1	ULA	2016	1	2016_Loc1	8	25	PHW30/B73-204 - (2n)-01	4	179
1	ULA	2016	1	2016_Loc1	8	26	PHW30/Mo17-278 - (2n)-01	5	302
1	ULA	2016	1	2016_Loc1	8	27	B73/PHW30-207 - (2n)-01	4	35
1	ULA	2016	1	2016_Loc1	8	28	B73/PHW30-166 - (2n)-01	4	28
1	ULA	2016	1	2016_Loc1	8	29	PHW30/Mo17-049 - (2n)-02	5	232
1	ULA	2016	1	2016_Loc1	8	30	Mo17/PHW30-430 - (2n)-01	5	140
1	ULA	2016	1	2016_Loc1	8	31	PHW30/B73-184 - (2n)-01	4	176
1	ULA	2016	1	2016_Loc1	8	32	B73/PHW30-288 - (2n)-02	4	48
1	ULA	2016	1	2016_Loc1	8	33	PHW30/Mo17-141 - (2n)-01	5	271
1	ULA	2016	1	2016_Loc1	8	34	Mo17/PHW30-157 - (2n)-01	5	99
1	ULA	2016	1	2016_Loc1	8	35	PHW30/Mo17-161 - (2n)-02	5	281
1	ULA	2016	1	2016_Loc1	8	36	PHW30/Mo17-085 - (2n)-01	5	249
1	ULA	2016	1	2016_Loc1	9	5	PHW30/Mo17-242 - (2n)-02	5	298
1	ULA	2016	1	2016_Loc1	9	6	Mo17/PHW30-013 - (2n)-01	5	67
1	ULA	2016	1	2016_Loc1	9	7	PHW30/B73-287 - (2n)-02	4	189
1	ULA	2016	1	2016_Loc1	9	8	PHW30/B73-421 - (2n)-03	4	213
1	ULA	2016	1	2016_Loc1	9	9	PHW30/Mo17-234 - (2n)-01	5	295
1	ULA	2016	1	2016_Loc1	9	12	PHW30/Mo17-139 - (2n)-01	5	269
1	ULA	2016	1	2016_Loc1	9	13	PHW30/Mo17-160 - (2n)-01	5	278
1	ULA	2016	1	2016_Loc1	9	14	PHW30/B73-269 - (2n)-01	4	187
1	ULA	2016	1	2016_Loc1	9	15	PHW30/B73-221 - (2n)-01	4	180
1	ULA	2016	1	2016_Loc1	9	16	PHW30/Mo17-049 - (2n)-01	5	231
1	ULA	2016	1	2016_Loc1	9	17	PHW30/B73-157 - (2n)-03	4	171
1	ULA	2016	1	2016_Loc1	9	18	PHW30/B73-232 - (2n)-01	4	182
1	ULA	2016	1	2016_Loc1	9	19	B73/PHW30-097 - (2n)-01	4	15
1	ULA	2016	1	2016_Loc1	9	20	PHW30/Mo17-077 - (2n)-02	5	248
1	ULA	2016	1	2016_Loc1	9	21	Mo17/PHW30-075 - (2n)-02	5	74
1	ULA	2016	1	2016_Loc1	9	22	PHW30/Mo17-308 - (2n)-01	5	309
1	ULA	2016	1	2016_Loc1	9	23	B73/PHW30-348 - (2n)-01	4	52
1	ULA	2016	1	2016_Loc1	9	24	B73/PHW30-186 - (2n)-01	4	31
1	ULA	2016	1	2016_Loc1	9	25	Mo17/PHW30-086 - (2n)-01	5	81
1	ULA	2016	1	2016_Loc1	9	26	PHW30/Mo17-088 - (2n)-02	5	251
1	ULA	2016	1	2016_Loc1	9	27	PHW30/Mo17-315 - (2n)-01	5	311
1	ULA	2016	1	2016_Loc1	9	28	B73/PHW30-100 - (2n)-01	4	19
1	ULA	2016	1	2016_Loc1	9	29	B73/PHW30-183 - (2n)-01	4	29
1	ULA	2016	1	2016_Loc1	9	31	Mo17/PHW30-094 - (2n)-01	5	87
1	ULA	2016	1	2016_Loc1	9	32	PHW30/Mo17-187 - (2n)-02	5	289
1	ULA	2016	1	2016_Loc1	9	33	B73/PHW30-396 - (2n)-01	4	58
1	ULA	2016	1	2016_Loc1	9	35	Mo17/PHW30-153 - (2n)-04	5	98
1	ULA	2016	1	2016_Loc1	9	36	PHW30/Mo17-089 - (2n)-02	5	253
1	ULA	2016	1	2016_Loc1	10	5	Mo17/PHW30-044 - (2n)-02	5	72
1	ULA	2016	1	2016_Loc1	10	6	PHW30/Mo17-165 - (2n)-01	5	282
1	ULA	2016	1	2016_Loc1	10	7	B73/PHW30-036 - (2n)-02	4	6
1	ULA	2016	1	2016_Loc1	10	8	PHW30/Mo17-076 - (2n)-01	5	245
1	ULA	2016	1	2016_Loc1	10	9	Mo17/PHW30-160 - (2n)-01	5	100
1	ULA	2016	1	2016_Loc1	10	10	PHW30/B73-078 - (2n)-01	4	161
1	ULA	2016	1	2016_Loc1	10	11	B73/PHW30-412 - (2n)-02	4	63
1	ULA	2016	1	2016_Loc1	10	12	PHW30/Mo17-019 - (2n)-01	5	220
1	ULA	2016	1	2016_Loc1	10	13	Mo17/PHW30-389 - (2n)-02	5	134
1	ULA	2016	1	2016_Loc1	10	14	B73/PHW30-201 - (2n)-01	4	34
1	ULA	2016	1	2016_Loc1	10	15	Mo17/PHW30-217 - (2n)-02	5	107
1	ULA	2016	1	2016_Loc1	10	16	B73/PHW30-288 - (2n)-01	4	47
1	ULA	2016	1	2016_Loc1	10	19	PHW30/B73-355 - (2n)-02	4	206
1	ULA	2016	1	2016_Loc1	10	20	PHW30/Mo17-136 - (2n)-01	5	267
1	ULA	2016	1	2016_Loc1	10	21	PHW30/B73-311 - (2n)-02	4	196
1	ULA	2016	1	2016_Loc1	10	22	PHW30/Mo17-032 - (2n)-01	5	226
1	ULA	2016	1	2016_Loc1	10	23	PHW30/B73-221 - (2n)-02	4	181
1	ULA	2016	1	2016_Loc1	10	24	PHW30/Mo17-157 - (2n)-01	5	276
1	ULA	2016	1	2016_Loc1	10	25	Mo17/PHW30-121 - (2n)-02	5	89
1	ULA	2016	1	2016_Loc1	10	26	PHW30/Mo17-234 - (2n)-02	5	296
1	ULA	2016	1	2016_Loc1	10	27	B73/PHW30-211 - (2n)-03	4	38
1	ULA	2016	1	2016_Loc1	10	28	PHW30/Mo17-139 - (2n)-02	5	270
1	ULA	2016	1	2016_Loc1	10	29	PHW30/Mo17-099 - (2n)-01	5	256
1	ULA	2016	1	2016_Loc1	10	30	B73/PHW30-041 - (2n)-01	4	7
1	ULA	2016	1	2016_Loc1	10	32	B73/PHW30-163 - (2n)-01	4	26
1	ULA	2016	1	2016_Loc1	10	33	Mo17/PHW30-080 - (2n)-01	5	75
1	ULA	2016	1	2016_Loc1	10	34	PHW30/B73-139 - (2n)-02	4	168
1	ULA	2016	1	2016_Loc1	10	35	PHW30/B73-390 - (2n)-01	4	209
1	ULA	2016	1	2016_Loc1	10	36	B73/PHW30-258 - (2n)-02	4	45
1	ULA	2016	1	2016_Loc1	11	5	Mo17/PHW30-231 - (2n)-01	5	108
1	ULA	2016	1	2016_Loc1	11	6	Mo17/PHW30-200 - (2n)-02	5	105
1	ULA	2016	1	2016_Loc1	11	8	Mo17/PHW30-184 - (2n)-02	5	103
1	ULA	2016	1	2016_Loc1	11	9	Mo17/PHW30-389 - (2n)-03	5	135
1	ULA	2016	1	2016_Loc1	11	10	PHW30/Mo17-026 - (2n)-01	5	222
1	ULA	2016	1	2016_Loc1	11	11	PHW30/Mo17-315 - (2n)-02	5	312
1	ULA	2016	1	2016_Loc1	11	12	PHW30/Mo17-195 - (2n)-01	5	293
1	ULA	2016	1	2016_Loc1	11	13	PHW30/B73-401 - (2n)-01	4	210
1	ULA	2016	1	2016_Loc1	11	15	Mo17/PHW30-454 - (2n)-02	5	143
1	ULA	2016	1	2016_Loc1	11	16	B73/PHW30-063 - (2n)-01	4	8
1	ULA	2016	1	2016_Loc1	11	18	Mo17/PHW30-254 - (2n)-01	5	114
1	ULA	2016	1	2016_Loc1	11	19	Mo17/PHW30-248 - (2n)-01	5	112
1	ULA	2016	1	2016_Loc1	11	20	B73/PHW30-036 - (2n)-01	4	5
