RecId	Trait	Loc	LA	PedId	Loc Seq#	Experiment	Entry	Pass	Range	Source	Pedigree	Notes
4085814	TUELA	1	61.968666666666664	3229315	14	MD-OBS1	14	18	2	15WJMY:Dziev:0258	Mo17/PHW30-160 - (2n)-02	NA
4085814	ULA	1	52.903666666666666	3229315	14	MD-OBS1	14	18	2	15WJMY:Dziev:0258	Mo17/PHW30-160 - (2n)-02	NA
4085815	FUELA	1	59.21966666666667	3229208	15	MD-OBS1	15	19	2	15WJMY:Dziev:0148	PHW30/Mo17-061 - (2n)-02	NA
4085815	MLA	1	61.5	3229208	15	MD-OBS1	15	19	2	15WJMY:Dziev:0148	PHW30/Mo17-061 - (2n)-02	NA
4085815	TUELA	1	60.974666666666664	3229208	15	MD-OBS1	15	19	2	15WJMY:Dziev:0148	PHW30/Mo17-061 - (2n)-02	NA
4085815	ULA	1	49.24133333333333	3229208	15	MD-OBS1	15	19	2	15WJMY:Dziev:0148	PHW30/Mo17-061 - (2n)-02	NA
4085816	FUELA	1	66.04433333333333	3229301	16	MD-OBS1	16	20	2	15WJMY:Dziev:0243	Mo17/PHW30-429 - (2n)-02	NA
4085816	MLA	1	69.894	3229301	16	MD-OBS1	16	20	2	15WJMY:Dziev:0243	Mo17/PHW30-429 - (2n)-02	NA
4085816	TUELA	1	60.97266666666667	3229301	16	MD-OBS1	16	20	2	15WJMY:Dziev:0243	Mo17/PHW30-429 - (2n)-02	NA
4085816	ULA	1	47.44	3229301	16	MD-OBS1	16	20	2	15WJMY:Dziev:0243	Mo17/PHW30-429 - (2n)-02	NA
4085817	FUELA	1	69.17666666666666	3229185	17	MD-OBS1	17	21	2	15WJMY:Dziev:0121	PHW30/Mo17-026 - (2n)-01	NA
4085817	MLA	1	70.743	3229185	17	MD-OBS1	17	21	2	15WJMY:Dziev:0121	PHW30/Mo17-026 - (2n)-01	NA
4085817	TUELA	1	71.17466666666667	3229185	17	MD-OBS1	17	21	2	15WJMY:Dziev:0121	PHW30/Mo17-026 - (2n)-01	NA
4085817	ULA	1	53.38333333333333	3229185	17	MD-OBS1	17	21	2	15WJMY:Dziev:0121	PHW30/Mo17-026 - (2n)-01	NA
4085818	FUELA	1	73.228	3229282	18	MD-OBS1	18	22	2	15WJMY:Dziev:0224	Mo17/PHW30-091 - (2n)-02	NA
4085818	MLA	1	65.10633333333334	3229282	18	MD-OBS1	18	22	2	15WJMY:Dziev:0224	Mo17/PHW30-091 - (2n)-02	NA
4085818	TUELA	1	74.16233333333332	3229282	18	MD-OBS1	18	22	2	15WJMY:Dziev:0224	Mo17/PHW30-091 - (2n)-02	NA
4085818	ULA	1	63.94266666666667	3229282	18	MD-OBS1	18	22	2	15WJMY:Dziev:0224	Mo17/PHW30-091 - (2n)-02	NA
4085819	FUELA	1	65.53399999999999	3229300	19	MD-OBS1	19	23	2	15WJMY:Dziev:0242	Mo17/PHW30-429 - (2n)-01	NA
4085819	MLA	1	63.87466666666667	3229300	19	MD-OBS1	19	23	2	15WJMY:Dziev:0242	Mo17/PHW30-429 - (2n)-01	NA
4085819	TUELA	1	61.739333333333335	3229300	19	MD-OBS1	19	23	2	15WJMY:Dziev:0242	Mo17/PHW30-429 - (2n)-01	NA
4085819	ULA	1	57.532000000000004	3229300	19	MD-OBS1	19	23	2	15WJMY:Dziev:0242	Mo17/PHW30-429 - (2n)-01	NA
4085820	FUELA	1	64.62766666666667	3396181	20	MD-OBS1	20	24	2	16SJMY:16S:J:0031	Mo17	NA
4085820	MLA	1	63.76866666666666	3396181	20	MD-OBS1	20	24	2	16SJMY:16S:J:0031	Mo17	NA
4085820	TUELA	1	68.19566666666667	3396181	20	MD-OBS1	20	24	2	16SJMY:16S:J:0031	Mo17	NA
4085820	ULA	1	60.523	3396181	20	MD-OBS1	20	24	2	16SJMY:16S:J:0031	Mo17	NA
4085821	FUELA	1	71.34233333333333	3396153	21	MD-OBS1	21	25	2	16SJMY:16S:J:0003	B73	NA
4085821	MLA	1	63.364333333333335	3396153	21	MD-OBS1	21	25	2	16SJMY:16S:J:0003	B73	NA
4085821	TUELA	1	79.31933333333333	3396153	21	MD-OBS1	21	25	2	16SJMY:16S:J:0003	B73	NA
4085821	ULA	1	82.088	3396153	21	MD-OBS1	21	25	2	16SJMY:16S:J:0003	B73	NA
4085822	FUELA	1	76.94233333333332	3229294	22	MD-OBS1	22	26	2	15WJMY:Dziev:0236	Mo17/PHW30-275 - (2n)-02	NA
4085822	MLA	1	78.42933333333333	3229294	22	MD-OBS1	22	26	2	15WJMY:Dziev:0236	Mo17/PHW30-275 - (2n)-02	NA
4085822	TUELA	1	72.68666666666667	3229294	22	MD-OBS1	22	26	2	15WJMY:Dziev:0236	Mo17/PHW30-275 - (2n)-02	NA
4085822	ULA	1	73.38666666666667	3229294	22	MD-OBS1	22	26	2	15WJMY:Dziev:0236	Mo17/PHW30-275 - (2n)-02	NA
4085823	FUELA	1	68.185	3229164	23	MD-OBS1	23	27	2	15WJMY:Dziev:0100	B73/PHW30-097 - (2n)-01	NA
4085823	MLA	1	69.41166666666666	3229164	23	MD-OBS1	23	27	2	15WJMY:Dziev:0100	B73/PHW30-097 - (2n)-01	NA
4085823	TUELA	1	62.3	3229164	23	MD-OBS1	23	27	2	15WJMY:Dziev:0100	B73/PHW30-097 - (2n)-01	NA
4085823	ULA	1	58.26533333333334	3229164	23	MD-OBS1	23	27	2	15WJMY:Dziev:0100	B73/PHW30-097 - (2n)-01	NA
